id,nombre,departamento_id,salario,fecha_ingreso,evaluacion
1,Carlos,1,427.51,2021-01-31,2
2,"María",2,553.49,2019-02-24,5
3,"José",1,1049.54,2018-05-11,1
4,Ana,1,640.5,2023-09-01,5
5,Luis,1,1017.37,2025-04-15,5
6,Carmen,4,642.48,2024-08-10,3
7,Pedro,1,1234.69,2019-10-16,4
8,Laura,3,705.66,2020-05-31,3
9,Miguel,1,502.02,2019-02-01,3
10,"Sofía",3,1064.1,2018-06-27,4
11,Jorge,5,537.31,2022-03-31,1
12,Valentina,5,722.5,2025-01-18,5
13,"Andrés",3,1035.09,2025-11-25,1
14,Camila,1,1127.39,2021-03-31,1
15,Diego,2,1353.13,2022-04-06,3
16,Fernanda,4,1099.25,2022-02-03,2
17,Roberto,3,790.8,2025-07-08,3
18,Paola,1,1070.04,2019-12-02,5
19,Ricardo,2,579.74,2022-04-04,3
20,Daniela,5,641.58,2021-08-21,1
21,Manuel,2,1303.98,2021-07-16,4
22,Gabriela,3,472.81,2024-05-12,3
23,Francisco,2,1120.98,2022-06-09,4
24,Isabel,2,691.37,2020-10-07,5
25,Alejandro,5,689.02,2024-07-22,4
26,Natalia,5,839.34,2020-06-17,2
27,Eduardo,5,942.87,2018-07-12,1
28,"Verónica",2,1090.19,2025-08-19,4
29,Rafael,5,469.88,2022-04-13,5
30,Adriana,4,982.03,2024-03-16,1
31,Sergio,1,1149.88,2024-01-09,3
32,Patricia,3,522.71,2022-11-16,2
33,Javier,4,403.57,2020-12-14,5
34,Claudia,2,958.45,2019-03-12,3
35,Alberto,5,1069.87,2019-09-19,3
36,"Mónica",2,993.32,2023-12-13,1
37,Fernando,5,756.57,2018-03-21,1
38,Beatriz,3,1366.59,2021-06-13,2
39,"Raúl",1,664.96,2024-05-12,1
40,Silvia,1,1205.1,2018-10-11,5
